date_documented,year_found,Season,Country_Code,Country,Location,latitude,longitude,UFO_shape,length_of_encounter_seconds,Description,,,,,,
4/16/2005,2005,Winter,THA,Thailand,Chiang Mai Province,18.787744,98.993119,Sphere,300,Orange sphere in skies above Chiang Mai,,,,,,
10/11/2005,2005,Autumn,THA,Thailand,Lampang Province,18.141982,99.428349,Unknown,120,Several people in Mae Chang (Chiang Mai&#44 Northern Thailand) witnessed a strange creature.,,,,,,
5/15/2006,2006,Winter,IDN,Indonesia,West Java,-6.388877,106.830069,Oval,180,6 lights flown over dark clouds,,,,,,
2/14/2006,2006,Winter,IDN,Indonesia,West Java,-6.249028,106.996952,Unknown,15,and unidentified flying object had three lights&#44 the color of the light is red&#44green&#44and blue,,,,,,
5/15/2006,2006,Spring,IDN,Indonesia,Central Java,-6.883333,109.666667,Light,120,the images can be found at ((deleted)).  ((NUFORC Note:  Small&#44 blurry&#44 indistinct object.  PD)),,,,,,
10/31/2008,2006,Autumn,IDN,Indonesia,Central Kalimantan,-0.789275,113.921327,Oval,300,ship object was landed at the center of tol road approx 60 km from Jakarta to Cikampek in Dawuan place,,,,,,
2/1/2007,2006,Winter,PHL,Philippines,Eastern Manila District,14.65073,121.102855,Circle,9900,Sighting over Quezon City Philippines during midnight of December 31&#44 2006,,,,,,
10/30/2006,2006,Summer,PHL,Philippines,Zamboanga del Norte,8.583333,123.333333,Disk,300,25 UFO&#39s in dipolog,,,,,,
7/16/2006,2006,Summer,SG,Singapore,Singapore,1.352083,103.819836,Other,600,Aurora-like mysterious object floating in the sky.,,,,,,
7/16/2006,2006,Summer,SG,Singapore,Singapore,1.352083,103.819836,Disk,240,the black  ufo,,,,,,
12/14/2006,2006,Winter,THA,Thailand,Bangkok,13.727896,100.524123,Changing,7200,It looked light an ordinary bright star..which suddenly caught my eye as it sped in toward earth at about 80 degrees and hovered,,,,,,
5/15/2006,2006,Spring,THA,Thailand,Phuket Province,7.843899,98.293619,Changing,900,I took a 9 min video of more than 25 lights traveling E over Phuket Island&#44 Thailand.  ((NUFORC Note:  Possible lanterns??  PD)),,,,,,
1/10/2009,2007,Winter,PHL,Philippines,Southern Manila District,14.537752,121.001379,Disk,60,Strange disk shaped object hovering at the side of a building in Manila&#44 Philippines.,,,,,,
4/27/2007,2007,Spring,PHL,Philippines,Batangas,13.756465,121.058308,Disk,120,white round object flew from the open sky into the clouds and disappeared,,,,,,
6/12/2007,2007,Spring,PHL,Philippines,Balulang,8.454236,124.631898,Light,630,Lights ove Cagayan de Oro&#44 Philippines,,,,,,
8/7/2007,2007,Summer,PHL,Philippines,Southern Manila District,14.48107,121.030995,Cone,1800,Report from U. S. serviceman:  Strange object/funnel cloud with two steady lights moving over south central Iraq.,,,,,,
2/1/2007,2007,Winter,SG,Singapore,Singapore,1.352083,103.819836,Sphere,10,A bright light across the sky took many Singaporeans by surprise on Sunday evening.,,,,,,
11/28/2007,2007,Autumn,THA,Thailand,Bangkok,13.727896,100.524123,Changing,7200,Life UFO Movement over Bangkok 4:00~6:00 on East Side 1 months already.  ((NUFORC Note:  Sighting of Venus?  PD)),,,,,,
11/28/2007,2007,Autumn,THA,Thailand,Phuket Province,7.843899,98.293619,Oval,240,An orange&#44 oval shaped&#44 glowing object was traveling relatively slowly in an easterly direction over the Andaman Sea.  It stopped&#44 and,,,,,,
7/22/2013,2007,Summer,THA,Thailand,Phuket Province,7.880448,98.39225,Circle,360,3 white circle circular shaped UFO in Phuket Thailand.,,,,,,
6/12/2008,2008,Summer,KHM,Cambodia,Cambodia,11.562108,104.888535,Unknown,2,"Hi, According to the Cambodian newspaper ""Phnom Penh Post"", on May 27, 2008 farmers/fishermen heard explosion in the sky and saw metal",,,,,,
1/10/2009,2008,Winter,IDN,Indonesia,West Java,-6.6,106.8,Oval,240,Mysterious glowing aeroplane at night,,,,,,
10/31/2008,2008,Autumn,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Disk,300,A huge &quot;creature&quot; built up with a line of bright line with a red light at the middle top of it&#44 appears in the dark clear Malaysia sky&#33,,,,,,
7/5/2008,2008,Spring,MYS,Malaysia,Negeri Sembilan,2.718592,101.948988,Disk,2,taken on hp camera by accident on bright clouds surrounded by black stomy clouds.only find out when transferred to the laptop&#44 noticed,,,,,,
1/10/2009,2009,Winter,BRN,Brunei,Bandar Seri Begawan,4.890278,114.942222,Unknown,1200,Obj. captured in camera on new year eve fireworks photo assignment for the press agency.  ((NUFORC Note:  Aircraft&#44 we believe.  PD)),,,,,,
3/19/2009,2009,Winter,MYS,Malaysia,Sarawak,1.530976,110.34422,Teardrop,5,huge bright blue colored tail light shined in the sky,,,,,,
3/19/2009,2009,Winter,MYS,Malaysia,Selangor,3.043061,101.440657,Fireball,2,Is it comet or UFO?  ((NUFORC Note:  Possible meteor??  PD)),,,,,,
4/14/2009,2009,Spring,MYS,Malaysia,Pahang,4.210484,101.975766,Other,15,I was taking pictures of plane display on the runway at night.  ((NUFORC Note:  No photo received at NUFORC.  PD)),,,,,,
7/28/2010,2009,Spring,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Sphere,120,Sighting of a gold chrome-like object in the skies of Malaysia.  ((NUFORC Note:  We believe it is a surface feature.  PD)),,,,,,
1/10/2009,2009,Winter,PHL,Philippines,Capitol Site,10.315699,123.885437,Circle,1500,Circular yellowish in color.,,,,,,
12/12/2009,2009,Autumn,PHL,Philippines,Cavite,14.351875,120.931505,Circle,600,I saw three objects in all appearing in intervals that lasted a few seconds &#39maybe half a minute each time.the first one appeared f,,,,,,
4/14/2009,2009,Spring,PHL,Philippines,Romblon,12.879721,121.774017,Triangle,5,the first time i saw an object in the sky at 4:30 am five dots of light in v-shape formation appeared then disappeared.,,,,,,
8/5/2009,2009,Summer,PHL,Philippines,Benguet,16.402333,120.596007,Circle,90,Lightball stopped in middle&#44 moved&#44changed course upwards&#44 rleasd another light&#44moved upwards disapprd&#44 second light moved westwards,,,,,,
6/9/2009,2009,Spring,SG,Singapore,Singapore,1.352083,103.819836,Sphere,120,Redlight over the city in singapore.,,,,,,
1/5/2011,2010,Autumn,MYS,Malaysia,Penang,5.278611,100.3875,Circle,300,UFO in Genting Malaysia,,,,,,
4/13/2010,2010,Winter,MYS,Malaysia,Johor,1.46343,103.754715,Unknown,600,i dont know,,,,,,
